Data;Aktywnoœæ;ID;Wejœcia;Podstawa;Pozycja;Km CAN;Wyjœcia;RPM CAN;Prêdkoœæ CAN;Poziom Paliwa;Licznika paliwa CAN;Kierowca 1;Kierowca 2;Zamek naczepy;Debug;ANA1;ANA2;Identycikacja1;Identycikacja2;Termometr 1;Termometr 2;Termometr 1,2 x10;Termometr 3;Termometr 3,4 x10;Tech Stat;Licznik We 11;VIN Naczepy
13-06-2023 00:38:08;C;431128 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:39:38;C;431129 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:41:08;C;431130 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:42:38;C;431131 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:44:08;C;431132 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:45:38;C;431133 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:47:09;C;431134 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:48:38;C;431135 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:50:09;C;431136 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:51:38;C;431137 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:53:09;C;431138 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:54:38;C;431139 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:56:09;C;431140 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:57:39;C;431141 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 00:59:09;C;431142 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:00:39;C;431143 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:02:09;C;431144 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:03:39;C;431145 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:05:09;C;431146 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:06:39;C;431147 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:08:09;C;431148 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:09:39;C;431149 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:11:09;C;431150 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:12:39;C;431151 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:14:09;C;431152 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:15:39;C;431153 ;;SQ:31 (23430) SAT:0 v:91 25.8V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:17:09;C;431154 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:18:39;C;431155 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:20:09;C;431156 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:21:39;C;431157 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 01:23:09;C;431158 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;34825;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
